stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.1,0.42,0.31,1.04,0,0.1,0.21,0.94,0,2.39,0.52,0,1.66,0.1,0.62,0.94,0.62,0.1,0,0,0.31,0.21,0.1,0,0.21,0.42,0,0.1,0.1,1.46,0.52
22Month,0,0.27,0.55,1.37,0.14,0,0.82,3.55,0.68,14.21,0.27,0.14,1.78,0,0.41,0.96,1.78,0,0.82,0.14,0,0.27,0.14,0.14,0,0,0.14,0,0,0,1.09
