stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,2.54,0,0.28,0,0.56,1.41,0,0.28
21Day,0.37,0,0.74,0,1.11,0.74,0,0.37,0,1.11,0.37,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0
