stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,5,0,11,0,2,0,1,0,0,0,2,0,0,0,0,0,4,11,68,0,0,0,0,13,650,0,0,0,7,0,0,0,0,0,2,0,0,0
72hpf,4.79,1.13,0,10.43,2.54,0.56,0,1.41,0,0.56,0,0,0,0,0.56,0,6.2,11.84,1.13,25.65,0,2.82,0.85,0.85,27.62,95.55,0,0.28,0,11.84,1.41,0,0.56,5.92,0,0.85,0,0,0
21Day,16.65,2.22,0.37,28.86,0.74,19.61,0,27.75,0.37,0.74,0,0,1.85,0.74,11.84,0.74,1.48,4.44,6.29,72.15,0,0,3.7,0,8.88,46.25,0.74,1.11,0,19.61,4.81,0,1.85,7.4,0.37,2.59,0,0,4.07
3Month,0.1,1.04,1.25,28.6,0.1,0,0.31,1.46,1.04,1.87,0,0,31.41,1.98,2.81,11.03,0.83,8.63,4.47,5.3,0.62,0.21,0.94,2.08,0.1,0.62,0.31,0.42,0,0.31,1.46,0.1,64.28,0.42,0,0.1,4.26,5.82,4.89
22Month,0.27,2.6,0.68,7.93,0,0,0.55,1.23,0.55,4.92,0.96,0,70.51,1.37,11.07,16.12,0.14,0.96,7.79,8.75,0.27,2.19,0.55,0.14,0.41,0.14,0.55,0.55,0.82,0.27,0.14,0,42.36,0.27,0.41,0,0,0,2.6
