stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,0.21,2.5,0.42,0.62,4.58,0.83,0.1,2.08,0.21,0.31,0.83,0.94,0.1,0.1,0.31,0.21,0.42,0.1,0.31,0.42,0,0.31,17.79,0.1,0.1,213.13,1.14
22Month,0.14,0,0.41,0,0,4.37,0,0.14,0.41,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0.14,3.01,0,22.68,0.14,0,1.23,0.14
