stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0,0,0,1.69,0,0,0,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0,1.11,0,0,0.37,0.37,0.37,0.37,0,0.37,0.37
3Month,0.94,0.1,0,0.1,0.31,0.21,0.21,9.47,0,0,0,0.21,0,0,0,0,0
22Month,0.14,0,0,0,0,1.78,0,9.43,0,0.14,0,0,0,0,0,0,0
