stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,1.41,0,0.56,0,0.28,0,3.66,0.56,0.56,0,2.54,0,0,0.28,0,0,0,0
21Day,1.11,2.22,0,0,0.37,0,0.74,0,0,0.37,0,4.81,0,0,0,2.22,1.11,0.74,0,4.44,0,0,0.74,0.37,0,0,0.74
3Month,0,1.56,1.35,0.62,0.52,0.52,0,1.98,0.1,0.21,0.31,0.31,0.1,1.04,0.21,0.21,0,0.42,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.73
22Month,0,0.14,0.14,0,0.68,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
