stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,2.54,0,0.56,0,0.28,0,0,0,0,0,0.56,3.38,0.56,1.13,0,0,252.54,7.33,0.56,0.56,0,5.07,0,0,2.82,0.28,0,0,0
21Day,0.37,0,3.7,0.37,2.96,0,0,0,0,0,0,1.11,0.74,1.48,0,2.22,0,0,107.67,1.85,0.37,0.74,0,0.37,3.33,0.74,1.85,0,0.74,0,0
3Month,0,0,2.6,0.1,0,0,0.42,0,1.98,0.31,0.1,0.73,0.73,0.31,0.42,0.21,0.1,0.42,2.5,0,0.52,0,0,0,0.1,2.18,0.1,0,0,19.97,0.31
22Month,0,0.14,2.6,0,0,0.14,1.37,0.14,19.68,0.14,0.55,1.5,0.14,0.41,0.82,1.37,0,0,2.6,0,0.55,0,0.68,0,0,4.1,0.14,0,0,0,0
