stage,Epithelial_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,1,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0.28,0.56,0.56,0,0
21Day,2.22,0,0.37,0,0,0,0.37,0.37
