stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0.28,13.25,1.97,0.28,0,1.13,0,0.56,0.56,0,0,0
21Day,0,0,0.74,0,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0,0.37,0.74,0.37,0,0,0,0,18.13,0.37,1.11,0,0.74,0.37,0,0,0,0,0
3Month,0.1,0,1.14,0.1,0,0,0,0.1,0.42,0,3.43,0.42,0,0.62,0.1,0.31,0.62,0.94,0.42,0,0.1,0.1,0.1,0,1.66,0.1,0,3.22,0.1,0,0.1,0.52,0.21
22Month,0.14,0.14,0.55,0.14,0,0.14,0,0,0.82,0.55,4.37,0,0.27,1.09,0,0.14,0.96,1.5,0,0.27,0.14,0.27,0.96,0,1.78,0,0,1.5,3.28,0,0,0,0.27
