stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
72hpf,1.97,0.56,0,1.41,1.13,31,0,0.28,0.28,0,0,0,0,0,0,1.41,9.3,0.28,3.95,0.56,0,74.13,10.43,0,1.69,2.25,0.28,0,5.07,3.1,3.38,8.17,0,0
21Day,0,0,0.37,7.77,0.37,52.17,0,18.5,0.37,0.37,0,0,0.37,1.48,1.48,0.37,2.22,0,4.07,1.11,0,18.5,2.96,0,1.11,1.48,1.85,0,3.33,4.07,10.36,1.48,0,0.74
3Month,0.1,0,0,7.8,0,0,1.14,0.52,4.68,0.1,0,1.25,0.83,0,0.94,0,0.83,0.62,0.52,0,0.83,0.21,0,0.31,0.1,0,0.1,2.5,0.1,0,0,0.31,1.87,0.1
22Month,0.14,0.55,0.14,2.05,0.27,0,0.14,0.41,2.32,0,0.55,3.55,0.14,0,1.91,0,0.41,0.68,0.27,0,0.14,0.41,0,0.27,0,0,0.14,0.41,0.14,0,0,0,0.14,0.27
