stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.28,0,3.66,0.85,0.28,0.28,0,0,0,0,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,3.7,21.83,1.85,0,0.74,0.37,0,0,0,0.37,0,0.37,1.48,0.74,0.74,0.37,4.81,0,0,0.37,0,3.7,2.22,0,0,0,1.11,1.85,0,0.74,0.37,0,0,0.74
3Month,0.1,0.31,3.12,15.5,0,0.31,0,0.83,0.73,0,0,3.33,0.52,0,2.39,0.21,1.25,1.46,0.52,0.42,0.1,0,0.1,0,0,0.31,0.1,0,0.1,0.62,1.04,0,0,0.21,0.94,0.83
22Month,0,0.27,28.15,4.1,0,0.14,0,1.64,1.37,0.27,0,5.19,0.68,0.27,3.01,0.27,0.27,0.55,0.96,0.14,0.55,0,0,0,0,0.27,0,0.14,0,0,2.6,0,0,0,0,0.14
