stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,1.13,0,0,0,0,0,0,0.28,0.85,0,0
21Day,0,1.85,0.37,0,0,0,0,0,0,0.37,0.37,0.37,1.48,0.37,1.48,0,0,0,0.74,0.37,0,0,0,0,0,0.74,1.11,0,0
3Month,0,0.83,0,0,0,0,0,0.21,0.31,0.1,1.04,0,0.1,0.21,0,0,0.31,0,0.1,0,0,0,0.1,0.52,0,0,0,0,0.1
22Month,0.55,1.91,0,0.14,0.14,2.6,0.14,5.47,2.6,0.27,8.47,0.14,0.96,3.83,0.82,0.41,0.41,0.14,0,0,0.41,0.27,0.14,0,0.14,0,0,0.14,0.68
