stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,3,4,0,0,0,0,0,0,0,0,0,0,7,0,22,54,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,0.85,5.36,1.41,4.79,0,0.28,0,0,0,2.25,9.58,0.28,8.46,0,544.25,45.1,0.28,0.28,11.56,0,0,3.95,0.28,0.56,0.85,0,0.28
21Day,0.37,0,0.37,0,2.22,0,0,0.37,0,0.74,0,0.74,1.11,2.22,0.37,40.7,5.92,0.37,0,4.07,1.85,0.37,0,0.74,0,0,0,0.37
3Month,0,0,0.31,0,0,0.21,0,0.62,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0.1,0,2.18,0,0,0,0,1.14,0
22Month,0,0,0.14,0.14,0,0,0.27,3.01,0,0.41,0,0.27,0.68,0.41,0,0,0,0,0.14,0,0,0.41,0,0,0,0,0,0.27
