stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0.85,1.69,0,0,0.56,0,0,0,0,0
21Day,0.74,0.37,1.85,0.37,1.11,0,0,0.74,0,1.11,0.37,0.74,0,0.37,0,1.11,0.37,0.37,1.48,0,0,0,0,0
3Month,0,0,0.31,0.1,0,0,5.51,0.21,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.83,0,0.1,0.21
22Month,0,0,0.27,0,0,0.55,5.19,0.41,0,0,0.68,0,0.14,0.14,0,0,0,0,0,0,0.27,0.14,0,0
