stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,2,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,3.1,0.56,0.56,0,0,0,0,0,0,0,0,0,0,2.25,6.76,1.69,3.1,0,0.28,0,1.41,10.43,6.2,0.28,0,1.69,0,0,0,0.85,0,0.28,0,0,0
21Day,0.74,0.37,0,8.14,0.74,3.7,0,0.37,0.37,0.74,0,0,0,0.74,1.11,0,0.74,5.18,1.48,6.29,0,0,0.74,0.37,3.33,4.44,0,0.37,0.37,0.37,0,0,0.37,0.37,0,0,0,0.74
3Month,0.1,2.39,0.73,31.93,0.31,0,0,0.1,4.16,16.43,0,0,7.39,15.39,1.04,7.49,1.87,10.71,10.61,4.16,1.46,0,2.39,3.74,0.62,0,0.62,0.1,0,0.42,0.21,2.5,0.21,0,0.21,2.7,1.04,5.3
22Month,0,2.87,0.68,5.47,0,0,0.14,0.41,1.64,6.83,11.07,0,15.03,6.42,0.96,11.75,0.14,1.5,6.29,2.46,0,0.14,0.82,0.41,0.41,0,0.68,0.41,0,0,0,0.82,1.37,0,0,0.55,0,0.82
