stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,0,0,0,0,0
72hpf,10.43,0,0,0.56,0,0,0,0,0,0,0,0,0,1.13,0,2.25,0,0,7.05,4.51,0,0.28,0.56,0,0,3.66,0,0
21Day,29.97,0,0.74,0.74,0.74,0.37,0,0,0.37,0,1.11,0.37,0,0.37,0.37,4.44,0,1.11,1.85,1.11,0,0.37,0.74,0.74,0,2.59,0,0
3Month,0.52,0.1,0.21,0,0,0,0.1,0,1.25,0.42,0,0,0,0.1,0.1,0.94,0.1,0.1,0.21,0,0.1,0.1,0,0,0.21,0.1,0.1,1.66
22Month,0.14,0.14,0.27,0,0,0,0,0.27,2.05,0,0,0.27,0.14,0.14,0.27,0.55,0,0.14,0,0,0,0,0,0.14,0,0.14,0,0
