stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.56,1.13,0,0,0,0,0,0.56,0,1.13,0,94.7,3.95,0,1.13,0,0,0.85,0.56,0.28,0
21Day,0,1.85,0,0.37,0,0,1.11,0,0.74,0.37,0,0.74,0,20.72,2.22,0,0,1.11,0,0.74,0,0,0
3Month,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0,0.27,0,0,0,0.82,0,0.27,0,0,0.14,0.27,0.14,0,0,0.41,0,0,3.14,0,0,0,0
