stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0
3Month,0.1,14.46,0,0.1,0,0.42,0.21,0.52,0.62,0.21,0.1,0,0.42,0.1,0,0.1,0.1,5.1,0.1,1.56,0.1
22Month,0,0.14,0.14,0,0.14,0.82,0.27,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
