stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,1.69,0,0,0,0,0,0,0,0,4.79,0.28,0,0,1.41,0.56,0,0,0,0,0,0,0
21Day,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0
3Month,0.1,14.77,0.1,0.1,0.1,0.83,0.94,1.35,0.42,0.21,12.69,0.21,0.21,0.1,0.1,0,0.1,0.31,0.42,0,0.31,0.31,0.1
22Month,0,0.68,0.14,0,0,0,0.14,0,0,0.14,0.41,0.14,0,0,0,0,0,0,0,0.14,0,0,0
