stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0
21Day,0.37,0,0,0,0,0,0,0.37,1.11,0.37,0.37,0,0,0,0.37,0,0,0
3Month,0.42,0,0.1,0,0.1,0.1,0,0.1,0.42,0.1,0,0,0.1,0.1,0,0.1,0,0.52
22Month,0.27,0.14,0.14,0.14,1.09,0,0.14,0,0.41,0,0,0,0.14,0.14,0,0.14,0,0
