stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0,1.41,0.56,0,1.41,0,0,0,0,0,0,0
21Day,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0.37,0,0,7.77,0,0,0,0,0,1.85,0.37,0,1.11,0,0,0.37,0.37,0,0,0
3Month,0,1.56,0.62,20.49,0,0.21,0.1,6.76,1.14,0.1,0,1.56,6.66,0,3.33,1.25,9.57,0.83,3.33,1.46,3.33,0.31,0.1,0,1.77,0.1,0.1,0.52,0,0,0.42,1.46,0.21
22Month,0.14,1.91,1.23,8.06,0.14,0,0,3.28,2.32,0.41,0,4.92,1.91,0.27,12.57,0.41,1.09,0.82,6.56,0.27,0.68,0,0,0,0.14,0,0,0.27,0,0,0.14,0,0.27
