stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.94,0,0,0,0.21,0,1.56,0.1,0,0.62,0.1,0.52,0.52,0.52,0,0.1,0,0,0,0,0,0.21,0,0,0,0.1,0.42
22Month,0.14,1.23,0.68,1.91,0.14,0.14,0.41,1.64,1.64,22.41,1.09,0.27,1.91,0,0.82,1.23,2.19,0.82,0.41,0.14,0.14,0,0.14,22.68,0.27,0.14,0.27,0.27,0,0.41
