stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,58.06,0,0,0,0,0,0,0,0,1.69,0,1.13,0,0,3.95,0.85,0,0.28,0,0,0.28,0,0.28,0,0,0
21Day,38.85,0.37,0.37,1.48,0,0,0.74,1.48,0.74,0.37,0,2.22,0,0.37,2.22,0.74,0,0.74,0.37,0,0,0.74,0,0,0,0
3Month,0,0,0.1,0,0,0,0.42,0.1,0.21,0,0.1,0.31,0,0,0,0,0,0,0,1.77,0,0,0,0.52,1.04,0.1
22Month,0,0.14,0.14,0,0.41,0.14,7.65,0.27,0.82,0,0.14,0,0.14,0.14,0,0,0.14,0,0,0.82,0,0,0,0,0,0
