stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,3,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,0,14.66,2.54,0.28,0,0.56,0,0,1.13,0.28,0,0,0
21Day,0.37,0,0,2.22,1.48,0.37,0,0,0,0,0,0,0,0,0.74,1.11,0.37,0,0,0,0,4.44,0.74,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.1,24.55,0.31,0,0.31,0.31,0,0,3.64,0.83,1.66,1.66,0.31,3.64,0.83,0.1,0,0.73,1.14,4.58,0.21,0.21,0.1,0,0.52,5.2,0.1,0.1,0.31,1.46,0.21
22Month,0,0.14,0.14,7.38,0,0,0,0.41,0.14,0,4.92,0,1.23,0,0.27,2.87,0.27,0,0.27,0.14,0.27,0.82,0,0,0,0,0,1.91,0.27,0,0.14,0,0
