stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,1.41,0.28
21Day,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37
22Month,0.41,0.27,0.14,0.14,0.14,0.14,0.41,0.14,0.14,0,0.14,0.27,0.14
