stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,1.41,0,0,0,0,0,0,0,0,0.28,2.25,0,0,0,0,0,0,0.85,1.41,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0.37,0.74,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.42,0.31,11.44,0.52,0,0.94,0.52,0,1.77,0.31,0.1,1.77,3.22,1.87,2.18,1.25,0.21,0.1,0.42,0.73,1.14,0.1,0.42,0.31,0,0.1,12.48,0,0.31,1.14,57.63,1.04
22Month,0,0.27,0.27,1.37,0.14,0.14,0,0.41,0.14,3.01,0.14,0,1.37,0.68,0.55,0.68,0.14,0,0,0.14,0,0.14,0,0.14,0,0,0.14,1.09,0,0,0,0.14,0
