stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.56,0.28,1.13,0,0,0,0,0,0,0,0.28,0.28,1.13,0,1.41,0,0,102.03,3.66,0.28,0.28,0.85,0,0.28,0.56,0.28,0.56,0,0
21Day,3.33,0,0,1.48,0,1.48,0,0,0,0,0,0.37,0,0,0,0.74,0.74,2.59,0,0,48.84,0.74,0,0.74,0,2.59,0.37,0.74,0,0,0,0
3Month,0,0.21,0,0.83,0,0,0.1,0.1,0.1,0.21,1.25,0.21,0,0.21,0,0.21,0.42,0.21,0.1,0.52,1.98,0.1,0.83,0.31,0,0.21,16.85,0,0,0,15.5,0.21
22Month,0.14,0.27,0.14,0.27,0,0,0,0,0.14,0,0.55,0,0.14,0.14,0.14,0,0.14,0.55,0.14,0.14,0.41,0,0,0.14,0,0,11.34,0,0,0,0.14,0
