stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0.56,0,0,0,0.56,0.28,0.85,0,0,0,0,0,0,0
21Day,0,0.37,0,2.96,0,0,2.96,0,0,0.37,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0,0.21,2.5,0.21,0.62,1.14,0.42,0,0.62,0.31,0,0,0,0,0.1,0,0.1,0.1,0.1
22Month,0.41,0,0.14,1.5,0.68,0.14,1.5,0,0.14,0.96,0,0,0,0.14,0.14,0,0.14,0,0,0
