stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,3.66,0.85,0,0.28,0,0,0,0.56,0,0.28,0
21Day,0.37,0.37,0.37,1.11,0.74,0,0,0.37,0,0.37,0.74,0.37,0,0.74,0,0,0.37,17.39,0.37,0,0.37,0.74,0,0,1.85,7.77,0.74,0.37
3Month,0,0.1,0,0,0,0,0,0.21,0,0,0,0,0.1,0,0.1,0,0,0.42,0,0.1,0,0,0.1,0.21,0.1,0,0,0.1
22Month,0.14,0,0,0,0,0.14,0.14,1.5,0.27,0,0.14,0.14,0,0.14,0,0.27,0,0.82,0,0,0,0,0,0,0.14,0,0,0
