stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,53,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.64,0.85,0,5.92,1.41,9.86,0,0,0,0,0,0,0,2.25,16.63,1.97,12.12,0,0.56,0.56,900.22,93.01,0.85,0.85,14.66,0,0.28,8.46,0.85,0.56,1.13,0,0
21Day,1.85,0,0,5.18,0.37,3.33,1.11,0,0,0.37,0.37,0.37,0.37,0.37,1.85,1.85,5.92,0,1.85,0,156.87,12.58,0.37,0.37,1.48,2.59,0,1.48,0.74,2.22,0.37,0,0.74
3Month,0,0.1,0.21,0.52,0,0,0,0.1,0,1.56,0.21,0,0.42,0,0.31,0.31,0,0,0,0.21,0.83,0.1,0.21,0,0,0.1,0.21,0,0,0,0.1,0.1,0.21
22Month,0,0,0,0.27,0.14,0,0,0,0.14,3.69,0,0,0,0,0,0,0.27,0.14,0,0.14,0.55,0,0,0,0,0,0.14,0,0.14,0,0,0,0
