stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0.28,0,0,1.13,0,0,0.28,3.95,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.37,0,0,0,1.11,0,2.59,5.55,0,0,0.74,7.4,0,0,0,0,0,0.37,0.37,0,0,0.37,0.37,0,0,0,0,0,0,1.11
3Month,0.21,0.31,0.94,0,0.1,0.1,0.31,29.54,2.29,118.48,0.52,0.42,0.1,0.42,22.16,1.04,0.21,0.1,0.1,0.1,0.21,0,0.1,0,0.21,0.31,0.52,0.73,0.1,0,0.21,0.42,4.16
22Month,0,0.14,0.68,0,0.82,0.14,0.14,56.57,4.24,36.21,1.5,0.68,0.14,0,32.11,0.27,0,0,0,0,0.14,0,0,0.41,0,0,0.14,0.27,0,0.55,0,0,2.6
