stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21Day,0,0,0.37,0,0,0.37,0,0,2.22,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0
3Month,0,0,0,0,0,0,0.1,0,0.1,0,0.31,0,0,0,0,0.1,0,0,0.1,0.1,0.1
22Month,0.27,0.14,0.82,0.14,0.14,0.41,12.57,0.41,1.64,0.14,9.84,0.68,0.27,0.14,0,0,0.14,0.96,0,0,1.64
