stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.85,0.56,0,0,0,0,0,0,1.13,0.28,1.13,0,0,0,0.28,88.5,19.45,0,0.28,1.41,0,0,1.13,1.69,0,0,0
21Day,1.11,0,2.22,1.11,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0.74,0,34.41,9.62,0,0.37,1.85,1.48,0.37,1.11,1.11,1.85,0,0
3Month,0,0.1,1.56,0,0,0.52,1.14,0.21,0,0,0.21,0.1,1.35,0.73,0,0,0.1,1.04,0.31,0.31,0.1,0,0,0.94,1.04,0,0,0.21,0.1
22Month,0,0,0,0,0.14,0.27,3.42,0.14,0,0.14,0,0.14,0.68,0,0.14,0,0,0.68,0,0,0.27,0,0.14,0.27,1.37,0.55,0,0,0
