stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,19,0,0,1,0,0,0,0,0,0,0
72hpf,1.97,0,0,1.13,0,0,0,0,0,0,0,0.28,0,0,0,1.41,0.28,0,1.97,0,2.25,0,0,1.97,2.54,0,0,0.56,0,0,0,0.28,0,0,0
21Day,3.33,0,0,1.11,0.37,0,0.37,0,0,0,0,1.48,0,0,0,0,0.37,0,2.22,0,0,0.37,0,0,0.74,0,0,0.74,0.74,0,0,0,0,0,0
3Month,0.21,0.52,1.87,4.16,0,0.52,0.1,0.1,0.42,1.46,0,330.25,1.46,0.21,5.51,1.77,2.29,1.98,2.81,0.42,0.73,1.77,0.94,0.94,0.42,1.66,0.52,0,7.07,2.7,0.21,0,1.56,0.94,0.83
22Month,0.14,0.68,0.27,1.09,0,0,0,0,0.14,0.14,0.14,84.72,0.27,0,0.55,0,0,0,0.82,0,1.5,0,0,0.14,0,0.41,0.14,0,0,3.55,0.41,0,0,0,0
