stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.1,2.6,0.73,0.21,0,0.52,0.1,0.1,0.21,0.21,0.42,0.1,0.21,0,0,0.1,0.1,0.62,0.21,0.94,0.1
22Month,0,0.68,0.41,0,0.14,0.68,0,0,2.32,0,0.27,0.55,0.14,0.14,0.14,0.14,0,1.23,0,0,0.14
