stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0.21,2.7,0.21,0,2.18,1.98,0,7.39,0.31,0.1,4.58,0.1,1.56,1.14,1.14,0,0.31,0.1,0.42,0.21,0.42,0.73,0.42,0.1,0.83
22Month,0.55,0.41,0.96,0,0.14,0.41,0.96,0.27,9.57,0.27,0.14,2.19,0,0.27,0.96,0.82,0.14,0,0,0,0.14,0,0.68,0.14,0,0.14
