stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0.28,0.56,0.28,0.56,0.28,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0.74,0,0.37,0,0.74,0,0
3Month,0,0.1,0,0,0,0,0,0,0.21,0,0,0.21,0,0,0.21
22Month,0,0,0,0.14,0.41,0.14,0,0,0,0,0,0.14,0,0.14,0
