stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,2.25,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0.37,0.37,0
3Month,0.73,0,0,0.52,0,0.42,0.1,0.1,0,0,0,0.21,0.21,0,0,0.1
22Month,0.27,0.14,0.14,2.05,0.14,0,0,0.14,0,0,0,1.37,0,0,0,0
