stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0,0,0,0,0,0.28,0,1.13,0,1.41,0,0,1.13,0.85,0,0.28,0,0.56
21Day,1.11,0.37,2.59,0,0.37,0.37,0.37,0,0,0.37,0,0.37,2.59,0,0.74,0.74,0.74,0.37,0.37,1.11,0
22Month,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0
