stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,1,7,0,0,170,0,1,0,0,0,0
72hpf,0.56,0,0.56,102.03,0,0,0,0,0,0,0.28,0,0,0,6.48,0.85,0.28,0,0,0,0.28,0.28
21Day,0.74,0,0.74,29.6,0,0.74,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0.74,0,0.37,0
3Month,0,0,0.1,0,0.1,0,0.1,0.52,0,0.1,0,0.52,0.1,0.1,0,0,0,0,0,0.83,0,0
22Month,0,0.14,0.14,0,0.14,0,0.14,2.87,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0
