stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,3,1,0,0,0,0,0,0,0,0,4,2,4,0,0,0,1,20,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0,0.21,0,0,0,0,0,0.42,0,0,0.21,0,0.1,0.21,0,0,0,0,0,0,0,0,0,0.21,11.23,0,0,0.1,4.68,0
22Month,0.14,5.88,0.68,6.83,0,0.68,1.23,8.75,5.06,44.41,3.55,0.55,2.32,1.23,2.87,7.93,0.14,3.01,1.5,0.68,0,0.55,1.23,79.39,0.27,0,0.96,0.41,0.68,0.41,0,1.23
