stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,8,1,0,0,0,0,1,0,0,0,12,0,4,6,5,0,0,0,0,4,70,0,2,0,0,0,1,0,0,0
72hpf,0.85,0.28,0,0.56,0,1.97,0,0,0,0,0.56,0,0,8.74,0,1.97,0.28,3.1,0,0.28,0,0,9.02,4.79,0,2.82,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,1.11,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0,0.31,0.1,1.66,0,0,0,0.42,0.73,0,81.03,0.62,0.1,9.67,0.42,0.1,0.1,0.94,0.52,0.21,1.14,0.94,0,0,0.1,0,1.14,0.52,0,0,0.21,0.1,0.31
22Month,0.14,0.14,0.27,0.68,0,0,0.68,0.41,0.27,0,127.77,0.14,0,12.85,0,0.14,0.41,0.55,0.14,3.01,0.27,0.14,0.14,0.14,0,0,0.55,0.14,0.14,0,0,0,0
