stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0
72hpf,3.66,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0.56,1.69,6.76,0.56,0,0,0,0,10.71,1.13,0,0,0.56,0.28,0.28,0.28,0.28,0,0,0
21Day,1.11,0,2.59,0.37,1.11,1.48,0,0,0,0.37,0,5.18,0.74,0.37,2.22,11.84,2.22,0,0,1.48,0,2.59,0,0,0,1.85,1.11,0,0.37,0.37,0.37,0,1.11
3Month,0.31,0.21,1.35,0,0,0,0.21,1.56,0,4.26,35.26,0.1,1.98,1.35,0.21,5.72,0.52,0.21,0,0.1,0.1,0,0,0.1,0,0,0.1,1.25,0.21,0,0,0.62,1.14
22Month,0.41,0.41,0.55,0,0,0.14,0.14,0.96,1.09,5.06,6.15,0,0.27,0.27,0,3.28,0.14,0,0.27,0.14,0,0,0.14,0,0.27,0,0,0.41,0.14,0,0,0,0.68
