stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0.56,0,0.28,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,10.73,0,0,0,0.37,0.37,0,0.37,0.37,0,0
3Month,0,0,0.21,0,0.1,0,0,0.1,0.1,0.1,0.21,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,1.35,0,0,0.1,0.21
22Month,0,0,0.14,0,0,0.14,0.55,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0
