stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,15,3,1,0,0,0,0,0,0,0,0,4,1,3,24,0,0,5,816,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,3.66,0,2.25,1.13,1.97,0.28,0,0,0,0,0,0.28,0,1.13,3.38,0.56,3.95,0,0,29.03,204.62,0,0.28,3.66,0,0,14.37,0,0,0.85,0,0,0
21Day,1.11,0.37,2.22,0,0.37,0.37,0,0,0.37,0,0.37,0.37,0,0,1.48,0.74,6.29,0,0,8.14,59.94,0,0,0.37,1.11,0,14.06,0.37,0.37,0.37,0,0,0.37
3Month,0,0.1,1.66,0.21,0,0,0.1,0.1,0.21,1.04,0.21,0,0.31,1.14,0.21,0.1,1.98,0.73,0,0,1.04,0.31,0,0,0,4.26,2.18,0,0,0.73,0.21,2.29,0
22Month,0,0,0.68,0,0,0,0,0.14,0,3.28,0,0,0.14,0,0,0,0.41,0.27,0.14,0.41,0.68,0.41,0,0,0,1.23,2.32,0.14,0,0.14,0,0,0.27
