stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,19.17,0.28,0,0,0.28,0,0.28,0.28,0.28,0,0
21Day,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,17.76,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.42,0,0,0,0.1,0.1,0.1,0.94,0.21,0,0.42,0.1,0,0.1,0.1,0.21,0,0.1,0.1,9.05,0,0.21,0,0.1,0.21,0,0,0,0.1,0.21
22Month,0,0.68,0,0.14,0.14,0,0,0.14,3.28,0,0.14,0.27,0,0,0.27,0.55,0,0.14,0,0,0.82,0,0.14,0.14,0,0.14,0,0,0,0,0
