stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,0.94,0.1,0.42,0,0.1,0.1,0.31,0.1,0.1,0.1,0,0.1,0,0.1,8.95,0.1,21.95
