stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,1,0,0,0,1,0,0
72hpf,0,0,0,0.56,0.28,0,0
21Day,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0,0.1,0.1
22Month,0,0.41,0,0,0,0,0
