stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,3,42,0,0,0,2,0,0,0,0,0,0
72hpf,2.54,0,0,0.85,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0.28,1.69,0.28,4.51,0,0,0,11.27,8.74,0,0,0,3.95,0,0,0,0,0,0
21Day,2.22,0,0,1.85,0,1.48,0,0.74,0,0,0,0,0,0.37,0,0.74,1.11,0.37,6.29,0,0.37,0,2.22,4.07,0,0.37,0,2.22,0.37,0.37,0.74,0,0,0.37
3Month,0,0.42,0.1,1.46,0,0,0.1,0.31,0.1,0.62,0,3.12,0.31,0.21,0.42,0.21,0.42,0.42,1.87,0.62,0.21,0.1,0.1,0.21,0,0.1,0,0.31,0.1,12.9,0,0.73,18.31,0.52
22Month,0,0,0,0.27,0,0,0.14,0,0.14,0.27,0.41,3.01,0,0.27,0.55,0,0.14,0.27,0.27,0,0,0,0.14,0.27,0.14,0.14,0.55,0,0.14,3.69,0,0,0,0.27
