stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,16,314,0,0,0,0,0,0,0,0
72hpf,4.51,0.56,0,1.69,0.28,3.1,0,0,0,0.56,3.38,0,5.92,0.85,0.28,500,90.47,0.85,7.33,0,1.97,4.23,3.95,0.56,0
21Day,1.48,0.37,0.74,2.59,0,3.33,0.37,1.48,0.37,0.74,1.48,0.37,1.48,0,0,133.57,12.58,0.37,0.74,3.33,1.11,8.88,34.04,0,0.74
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0
