stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.69,0,0,0.28,0,14.94,2.25,0,0,0.28,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0,1.11,0,17.39,1.48,0,0,1.11,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0.21,2.08,0,0.73,0.1,3.74,0.83,0,1.04,0,1.66,0.31,2.81,0.21,0,0.31,0.21,0,0,0.21,0.21,0.1,0.21,1.14,1.14,0,0.1,0.31,0.94,0.21
22Month,0,0.27,0.14,2.05,0.14,2.05,0.55,24.46,0.27,0.14,2.46,0,0.41,0.96,2.87,0,0.55,0.27,0,0.55,0,0.41,0,0.14,0,0.82,3.69,0.27,0.27,0,0,0.14
