stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0.37,0.37,0,0,0,0
3Month,0,0.21,0.1,0.21,0.1,0.1,0.52,9.36,0.31,0.1,0.1,0.21,0.1,0.21,0,0.1,0,8.63,0.42,0.1,0.21,12.79,0.21
22Month,0,0,0,0.14,0,0,0.14,1.09,0,0,0.27,0,0,0.14,0,0,0.14,0.68,0,0,0,0,0
