stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0.74,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.1,1.25,5.82,0.21,0.1,6.87,1.35,0,5.41,0.62,0.1,12.69,0.62,0.73,3.64,1.35,0,8.22,1.77,0.42,0,0.42,0,0.1,0.42,0.83,0.21,3.33,2.18
22Month,0.14,0.14,0.41,2.46,0.14,0.14,1.23,0.96,0.27,7.11,0.14,0,3.55,0.14,0.55,0.68,0.55,0.14,2.19,0,0,0,0.14,0.55,0,0,0,0.14,0,0.68
