stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.69,0,0,0.56,0.56,0,3.66,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0.37,0.74,0,0,0,0,0,8.14,0.37,0,0,0,0
3Month,0.42,0.73,0.1,0.1,0.1,0.62,0.52,0.1,0.1,0,0,0,0,0.1,0.31,0.1,1.98,0.21
22Month,0.55,1.23,0,0.41,0,0,1.09,0,0,0,0,0.14,0,0,0,0,0,0
