stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,4.99,0.1,0,0.31,0.21,0.1,0.1,0,0,0,0.1,0.1,0.21,0,0.21,0,0.52,0.21,0.1
22Month,0,4.92,0,0.14,1.23,0,0,0,0.27,0.14,0.14,0,0,0.27,0,1.09,0.14,0.68,0,0
