stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20,13,56,2,1,0,0,0,0,6,0,0,0,0,5,11,9,214,0,0,0,0,26,2173,1,0,44,0,0,0,0,0,6,0,0,0
72hpf,16.91,5.07,30.44,3.95,10.71,0,0,0,0,0,0,0,0,0,12.12,26.49,1.41,147.41,0,1.69,1.97,0,535.23,452.93,0.56,4.79,178.13,1.13,0.28,56.65,0.56,1.97,4.51,0,0,0
21Day,10.73,0,67.34,0.74,10.36,1.85,0,0,0.37,0,1.11,0.37,4.44,2.22,10.73,14.43,4.07,162.79,0,0,6.66,0.37,167.6,153.91,0.37,1.11,75.48,12.58,0,16.65,2.96,3.7,3.33,0,0,1.85
3Month,0,0,6.14,0.1,0,0,0,0,0.31,0,1.35,0.1,0.21,0.31,0.94,3.43,0.21,3.74,1.14,0,0.21,0.1,0.31,0.21,0,0.21,0.1,0.1,1.87,0,0,0,0.21,1.14,0.52,0.21
22Month,0,0,2.46,0,0,0,0.14,0.14,0.41,0,2.73,0,0,0.14,0,0.14,0.27,3.14,0,0.14,0.14,0,0.14,0.14,0,0.14,0,0.14,0.41,0,0,0,0,0,0,0
