stage,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0
21Day,2.22,0.37,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0,0.37,0,0
3Month,3.95,0,0.1,0.1,0.62,0.1,1.87,1.14,0.31,0.21,0.42,0.1,0.1,0.1,0,0.31,0.52
22Month,0,0,0,0,0.82,0,2.19,0,0,0.41,0,0,0,0.14,0,0.27,0
