stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,19,0,22,2,1,0,0,0,0,0,3,0,0,0,0,1,6,14,67,0,1,32,3869,0,0,0,14,0,0,1,0,0,12,0,0,0
72hpf,4.23,5.92,0,1.97,0.56,1.97,0,0.28,0,0,0,0,0,0,0,0,1.13,4.23,0.28,19.45,0,0,41.43,285.23,0,0,0,17.76,0,0,63.42,0,0,16.07,0,0,0
21Day,1.48,6.66,0,7.03,1.48,5.55,0,0.74,0,0,0,0,1.11,0,0.74,0.74,0,2.59,0.37,23.68,0,2.96,17.76,142.44,0.74,1.48,0,8.88,4.81,0,29.97,0.37,1.11,7.4,0,0,1.85
3Month,0.1,17.47,0.1,14.77,0,0,0.1,0.21,0.62,0.52,0.1,0,2.08,0.52,0.1,1.04,0.1,0.73,0.1,4.26,0.31,0.94,0.42,0.94,0.1,0.21,0,0.42,0.62,6.03,0.52,0,0,2.18,41.71,0.94,0.52
22Month,0,14.62,0,10.8,0,0,0,0,0.14,0.82,7.11,0,7.24,0.41,0,0.68,0,0.27,0.41,2.6,0,0.55,0,1.09,0.14,0.27,0.27,0,0,1.5,0.82,0,0,0.55,7.65,0,0.14
