stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.41,0.28,0,0,0,0,0,0,1.97,0,0,0,0,2.25,1.97,0,0,0.56,0,0,0,0,0,0,0
21Day,0,3.33,0,0.37,0,0,0,0.37,0,2.59,0,0,0,0,2.59,0,0,0,0.37,0,0,0.37,0.37,0.37,0.37,0
3Month,0,5.2,0.1,0,0.21,0,0.1,1.87,0.42,1.04,0.31,0.1,0.31,0.21,0,0,0.31,0,0.1,0.1,0.62,0,0,0,0.1,0.73
22Month,0.14,0.55,0,0,0.14,0.27,1.78,0.96,0,0.14,0,0.27,0,0,0.14,0,0,0.14,0,0.14,0.14,0,0,0,0,0
