stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0,0,0,0,16.63,0.85,0,0,0,0,0.28,0,0,0,0,0
21Day,1.85,0,0,2.96,0.37,0,0,0,0,0,0,0.74,0,0.37,0.37,0,1.11,0,0,0,4.81,0.74,0,0,0.37,0,0,0.37,0.37,0,0,0
3Month,0,0.1,0.31,3.12,0,0.1,0.83,0.31,0,1.98,0.21,0.1,22.99,0.1,0.31,0.42,0.21,0.21,0,0.21,0.21,0,0.31,0,0,0.83,0,0,0,0,0.31,0.21
22Month,0,0.27,2.46,5.19,0,0.27,4.37,6.01,2.05,10.66,0.68,0.55,112.74,0.27,0.68,27.6,2.46,0,0.82,0.27,0,0,1.64,0.27,0.14,1.37,0.41,0,0,0.27,0,0.27
