stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,1.11,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,1.11,0,0,0.37,0,0,0,0,0.37,0.74,0.37,0.37,0,0,0,0,0,0
3Month,0.21,0.21,0.1,1.04,0.1,0,0,0,0.21,4.47,0.1,0,1.04,0.52,0.42,1.04,1.14,0.1,0,0.1,0.1,0,0,0.62,0.21,0,0.1,15.29,0,0,0.1,0.1,17.89,0.83
22Month,0,0.14,0,0.27,0,0,0.14,0,0.14,10.11,0,0.14,0.82,0.14,0,0.68,2.32,0,0.96,0,0,0.14,0,0.14,0.14,0,0.14,3.96,0.14,0.27,0,0,0.14,0.27
