stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0
21Day,0.37,0.74,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0,3.33,0.37,0.74,0,0.74,0.74,0
3Month,1.04,0.1,0,0.1,0.1,0.1,0,0.42,0.31,0,0.42,0,0,0,0.1,0,0,0,0.31,0,0,0.94
22Month,0.14,0.14,0,0,0,0.14,0.27,1.23,0.14,0,0.27,0,0.41,0.68,0.14,0,0,0,0,0,0,0.27
