stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,4.81,0,0,0,0,0,0,0,0.37,2.96,0,0,2.59,0.74,0,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0,0.37,0,0,2.59
3Month,0,0.1,0.62,22.68,0.31,0.31,0.1,2.18,6.03,0,3.02,15.39,2.7,7.59,0.83,6.35,10.4,1.04,0.52,1.66,0.31,0,0,0.1,0,0.1,0.52,0.1,1.77,0,0.62,0.21,7.07
22Month,0.41,0.27,0.96,6.83,0.14,0.14,0,2.46,4.78,0.68,3.69,6.56,2.87,13.39,0.14,1.64,5.88,1.91,0,0.68,0,0,0,0.41,0.14,0.27,0,0,3.69,0.14,0.41,0,3.01
