stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,5.64,0.56,0,0,0.56,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.74,0,5.18,0,0,0,0,0,0,0,0,0
3Month,0.1,0.42,3.33,0.1,0.31,0.21,0.94,0,2.29,0.42,0,0.52,0.1,1.25,0.31,2.39,0.21,0,0.62,0.42,2.39,0,0.21,0,0.1,0,1.66,59.08,0.31,0.1
22Month,0,0,0.27,0,0,0,0.14,0.41,4.37,0,0.14,0.82,0.14,0.14,0.41,0.82,0,0.41,0.55,0,0.96,0,0,0.14,0,0.14,2.05,8.47,0,0
